w_ex,w_trip,strat_id,psu_id,YEAR,ST,ID_CODE,WAVE,var_id,CLS,wp_int,wp_catch,prim1_common,PARTY,INTSITE,TIME,PRT_CODE,CLS_ID,date,date_time_mrip,w_psu,w_int,ALMACO JACK_claim,ALMACO JACK_release,ATLANTIC SHARPNOSE SHARK_claim,ATLANTIC SHARPNOSE SHARK_release,BANDED RUDDERFISH_claim,BANDED RUDDERFISH_release,BLACK GROUPER_claim,BLACK GROUPER_release,BLACK SEA BASS_claim,BLACK SEA BASS_release,BLACKFIN TUNA_claim,BLACKFIN TUNA_release,BLACKTIP SHARK_claim,BLACKTIP SHARK_release,BLUEFISH_claim,BLUEFISH_release,COBIA_claim,COBIA_release,DOLPHIN_claim,DOLPHIN_release,GAG_claim,GAG_release,GRAY SNAPPER_claim,GRAY SNAPPER_release,GRAY TRIGGERFISH_claim,GRAY TRIGGERFISH_release,GREAT BARRACUDA_claim,GREAT BARRACUDA_release,GREATER AMBERJACK_claim,GREATER AMBERJACK_release,HOGFISH_claim,HOGFISH_release,KING MACKEREL_claim,KING MACKEREL_release,LANE SNAPPER_claim,LANE SNAPPER_release,LEMON SHARK_claim,LEMON SHARK_release,LIONFISH_claim,LIONFISH_release,LITTLE TUNNY_claim,LITTLE TUNNY_release,LITTLEHEAD PORGY_claim,LITTLEHEAD PORGY_release,MUTTON SNAPPER_claim,MUTTON SNAPPER_release,RED DRUM_claim,RED DRUM_release,RED GROUPER_claim,RED GROUPER_release,RED PORGY_claim,RED PORGY_release,RED SNAPPER_claim,RED SNAPPER_release,SAILFISH_claim,SAILFISH_release,SAND SEATROUT_claim,SAND SEATROUT_release,SCAMP_claim,SCAMP_release,SHEEPSHEAD_claim,SHEEPSHEAD_release,SPANISH MACKEREL_claim,SPANISH MACKEREL_release,SPINNER SHARK_claim,SPINNER SHARK_release,SPOTTED SEATROUT_claim,SPOTTED SEATROUT_release,TRIPLETAIL_claim,TRIPLETAIL_release,VERMILION SNAPPER_claim,VERMILION SNAPPER_release,WAHOO_claim,WAHOO_release,WHITE GRUNT_claim,WHITE GRUNT_release,WHITEBONE PORGY_claim,WHITEBONE PORGY_release,YELLOWTAIL SNAPPER_claim,YELLOWTAIL SNAPPER_release,mrip_non_cls_claim,mrip_non_cls_release,wave_year
1,26.63974364998918,2017011235weS:8AM-8PM,201711235157402e7,2017,12,1574020170115007a,1,2017011235weS:8AM-8PM,Y,59.2359625022526,59.2359625022526,RED GROUPER,6,524,14:07:00,1574020170115007a,246,2017-01-15,2017-01-15T14:07:00Z,5.527393622885572,26.63974364998918,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,3,1_2017
1,26.63974364998918,2017011235weS:8AM-8PM,201711235157402e7,2017,12,1574020170115013a,1,2017011235weS:8AM-8PM,Y,59.2359625022526,59.2359625022526,RED GROUPER,4,524,14:26:00,1574020170115013a,113,2017-01-15,2017-01-15T14:26:00Z,5.527393622885572,26.63974364998918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,4,5,1_2017
1,26.639743649989178,2017011235weS:8AM-8PM,201711235157402e7,2017,12,1574020170115017a,1,2017011235weS:8AM-8PM,Y,59.2359625022526,59.2359625022526,GREATER AMBERJACK,5,524,15:35:00,1574020170115017a,210,2017-01-15,2017-01-15T15:35:00Z,5.527393622885572,26.63974364998918,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,1_2017
1,26.63974364998918,2017011235weS:8AM-8PM,201711235157402e7,2017,12,1574020170115022a,1,2017011235weS:8AM-8PM,Y,59.2359625022526,59.2359625022526,NA,3,524,16:05:00,1574020170115022a,199,2017-01-15,2017-01-15T16:05:00Z,5.527393622885572,26.63974364998918,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,3,1_2017
1,26.63974364998918,2017011235weS:8AM-8PM,201711235157402e7,2017,12,1574020170115025a,1,2017011235weS:8AM-8PM,Y,59.2359625022526,59.2359625022526,HOGFISH,2,524,16:14:00,1574020170115025a,220,2017-01-15,2017-01-15T16:14:00Z,5.527393622885572,26.63974364998918,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,1_2017
1,84.85937784385138,2017011235weS:8AM-8PM,201711235157402e7,2017,12,1574020170116005a,1,2017011235weS:8AM-8PM,NA,87.6346542695811,87.6346542695811,NA,3,776,12:16:00,1574020170116005a,NA,2017-01-16,2017-01-16T12:16:00Z,38.887439923930614,84.85937784385138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,39,0,0,0,0,0,2,1_2017
1,518.0533951450617,2017011245wdS:8AM-8PM,201711245157562e7,2017,12,1575620170105001a,1,2017011245wdS:8AM-8PM,NA,962.248267935299,962.248267935299,NA,2,37,14:00:00,1575620170105001a,NA,2017-01-05,2017-01-05T14:00:00Z,474,518.0533951450617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1_2017
1,205.8728184341001,2017011245wdS:8AM-8PM,201711245157562e7,2017,12,1575620170118003a,1,2017011245wdS:8AM-8PM,NA,288.3527032929,288.3527032929,RED DRUM,1,759,12:46:00,1575620170118003a,NA,2017-01-18,2017-01-18T12:46:00Z,80.90971164451915,205.8728184341001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_2017
1,205.8728184341001,2017011245wdS:8AM-8PM,201711245157562e7,2017,12,1575620170118004a,1,2017011245wdS:8AM-8PM,NA,288.3527032929,288.3527032929,RED DRUM,2,759,12:53:00,1575620170118004a,NA,2017-01-18,2017-01-18T12:53:00Z,80.90971164451915,205.8728184341001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1_2017
1,184.09977598789348,2017011245wdS:8AM-8PM,201711245157562e7,2017,12,1575620170131008a,1,2017011245wdS:8AM-8PM,NA,379.321056345509,379.321056345509,SHEEPSHEAD,3,591,14:56:00,1575620170131008a,NA,2017-01-31,2017-01-31T14:56:00Z,100.65833623078525,184.09977598789348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1_2017
3,154.73084589118557,2017011245wdS:8AM-8PM,201711245157562e7,2017,12,1575620170131011a,1,2017011245wdS:8AM-8PM,NA,1137.96316903653,1137.96316903653,NA,3,591,15:20:00,1575620170131011a,NA,2017-01-31,2017-01-31T15:20:00Z,100.65833623078525,464.19253767355673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1_2017
1,365.2833365777734,2017011245weS:8AM-8PM,201711245157562e7,2017,12,1575620170107001a,1,2017011245weS:8AM-8PM,NA,693.893364722512,693.893364722512,NA,2,1367,12:00:00,1575620170107001a,NA,2017-01-07,2017-01-07T12:00:00Z,172.35260700126918,365.2833365777734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1_2017
1.3333333333333333,152.48272152286012,2017011285wdS:8AM-8PM,201711285157492e7,2017,12,1574920170126001a,1,2017011285wdS:8AM-8PM,NA,68.6492752226225,68.6492752226225,NA,4,303,13:56:00,1574920170126001a,NA,2017-01-26,2017-01-26T13:56:00Z,82.69108280589029,203.31029536381348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,5,1_2017
2,119.60621548225105,2017011285wdS:8AM-8PM,201711285157492e7,2017,12,1574920170126004a,1,2017011285wdS:8AM-8PM,NA,102.973912833934,102.973912833934,SAILFISH,2,303,14:17:00,1574920170126004a,NA,2017-01-26,2017-01-26T14:17:00Z,67.55505086057548,239.2124309645021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,1_2017
1,141.63291305478194,2017011285wdS:8AM-8PM,201711285157492e7,2017,12,1574920170126005a,1,2017011285wdS:8AM-8PM,NA,51.4869564169669,51.4869564169669,SAILFISH,2,303,16:18:00,1574920170126005a,NA,2017-01-26,2017-01-26T16:18:00Z,67.55505086057548,141.63291305478194,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1_2017
1,141.63291305478194,2017011285wdS:8AM-8PM,201711285157492e7,2017,12,1574920170126007a,1,2017011285wdS:8AM-8PM,NA,51.4869564169669,51.4869564169669,SAILFISH,1,303,16:52:00,1574920170126007a,NA,2017-01-26,2017-01-26T16:52:00Z,67.55505086057548,141.63291305478194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1_2017
1,448.8425958049586,2017011285weS:8AM-8PM,20171128515631202e5,2017,12,1563120170107001a,1,2017011285weS:8AM-8PM,NA,203.637991108128,203.637991108128,NA,2,788,13:22:00,1563120170107001a,NA,2017-01-07,2017-01-07T13:22:00Z,183.30615366872547,448.8425958049586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1_2017
2,391.0316292561833,2017011285weS:8AM-8PM,20171128515631202e5,2017,12,1563120170107003a,1,2017011285weS:8AM-8PM,NA,280.122108711285,280.122108711285,NA,4,788,14:06:00,1563120170107003a,NA,2017-01-07,2017-01-07T14:06:00Z,195.67149013131248,782.0632585123666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1_2017
6,130.34387641872777,2017011285weS:8AM-8PM,20171128515631202e5,2017,12,1563120170107005a,1,2017011285weS:8AM-8PM,NA,280.122108711285,280.122108711285,NA,6,788,15:40:00,1563120170107005a,NA,2017-01-07,2017-01-07T15:40:00Z,195.67149013131248,782.0632585123666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1_2017
1,477.88625729104416,2017011285weS:8AM-8PM,20171128515631202e5,2017,12,1563120170107006a,1,2017011285weS:8AM-8PM,Y,203.637991108128,203.637991108128,YELLOWTAIL SNAPPER,3,788,16:03:00,1563120170107006a,31,2017-01-07,2017-01-07T16:03:00Z,195.67149013131248,477.8862572910442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1_2017
6,130.34387641872777,2017011285weS:8AM-8PM,20171128515631202e5,2017,12,1563120170116001a,1,2017011285weS:8AM-8PM,NA,296.953168973834,296.953168973834,NA,12,1265,12:10:00,1563120170116001a,NA,2017-01-16,2017-01-16T12:10:00Z,179.61531296433094,782.0632585123666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,5,0,1_2017
1,199.09935877478594,2017011285weS:8AM-8PM,20171128515631202e5,2017,12,1563120170116003a,1,2017011285weS:8AM-8PM,NA,102.502160817838,102.502160817838,NA,4,1265,12:22:00,1563120170116003a,NA,2017-01-16,2017-01-16T12:22:00Z,179.61531296433094,199.09935877478594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,12,6,0,15,1_2017
4,195.51581462809165,2017011285weS:8AM-8PM,20171128515631202e5,2017,12,1563120170116007a,1,2017011285weS:8AM-8PM,NA,328.30812140208,328.30812140208,NA,8,1265,16:58:00,1563120170116007a,NA,2017-01-16,2017-01-16T16:58:00Z,194.2286309130332,782.0632585123666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,7,1_2017
1,782.0632585123666,2017011285weS:8AM-8PM,20171128515631202e5,2017,12,1563120170129001a,1,2017011285weS:8AM-8PM,NA,280.122108711285,280.122108711285,NA,2,543,11:07:00,1563120170129001a,NA,2017-01-29,2017-01-29T11:07:00Z,119.49166621223823,782.0632585123666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,12,1_2017
1,581.8230055904492,2017011285weS:8AM-8PM,20171128515720202e5,2017,12,1572020170113001a,1,2017011285weS:8AM-8PM,NA,260.583138597742,260.583138597742,NA,6,243,12:25:00,1572020170113001a,NA,2017-01-13,2017-01-13T12:25:00Z,180.5868671547054,581.8230055904492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,8,1_2017
1,645.8347653451442,2017011285weS:8AM-8PM,20171128515720202e5,2017,12,1572020170113007a,1,2017011285weS:8AM-8PM,NA,276.240205186738,276.240205186738,NA,4,243,15:50:00,1572020170113007a,NA,2017-01-13,2017-01-13T15:50:00Z,201.0998789556544,645.8347653451442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,14,1_2017
